Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TestSuit,Chrome 88.0.4324.104,,,2021-02-01 14:08:45,2021-02-01 14:09:23,37.866s,PASSED
,,,,,,,
Test Cases/Login/TestLogin,Chrome 88.0.4324.104,,,2021-02-01 14:08:46,2021-02-01 14:09:00,13.885s,PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-02-01 14:08:47,2021-02-01 14:08:50,3.342s,PASSED
"navigateToUrl(""https://www.bigc.vn/"")",Chrome 88.0.4324.104,,,2021-02-01 14:08:50,2021-02-01 14:08:53,3.619s,PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-02-01 14:08:53,2021-02-01 14:08:54,0.167s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_NG NHP""))",Chrome 88.0.4324.104,,,2021-02-01 14:08:54,2021-02-01 14:08:54,0.635s,PASSED
"setText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_email""), username)",Chrome 88.0.4324.104,,,2021-02-01 14:08:54,2021-02-01 14:08:55,1.093s,PASSED
"setEncryptedText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_password""), password)",Chrome 88.0.4324.104,,,2021-02-01 14:08:55,2021-02-01 14:08:56,0.443s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/button_NG NHP""))",Chrome 88.0.4324.104,,,2021-02-01 14:08:56,2021-02-01 14:08:56,0.446s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_Tin tc Big C""))",Chrome 88.0.4324.104,,,2021-02-01 14:08:56,2021-02-01 14:08:59,2.541s,PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-02-01 14:08:59,2021-02-01 14:09:00,1.290s,PASSED
,,,,,,,
Test Cases/Login/TestLogin,Chrome 88.0.4324.104,,,2021-02-01 14:09:00,2021-02-01 14:09:13,12.553s,PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-02-01 14:09:00,2021-02-01 14:09:03,2.578s,PASSED
"navigateToUrl(""https://www.bigc.vn/"")",Chrome 88.0.4324.104,,,2021-02-01 14:09:03,2021-02-01 14:09:06,3.258s,PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-02-01 14:09:06,2021-02-01 14:09:06,0.156s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_NG NHP""))",Chrome 88.0.4324.104,,,2021-02-01 14:09:06,2021-02-01 14:09:07,0.638s,PASSED
"setText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_email""), username)",Chrome 88.0.4324.104,,,2021-02-01 14:09:07,2021-02-01 14:09:08,1.068s,PASSED
"setEncryptedText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_password""), password)",Chrome 88.0.4324.104,,,2021-02-01 14:09:08,2021-02-01 14:09:08,0.447s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/button_NG NHP""))",Chrome 88.0.4324.104,,,2021-02-01 14:09:08,2021-02-01 14:09:09,0.478s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_Tin tc Big C""))",Chrome 88.0.4324.104,,,2021-02-01 14:09:09,2021-02-01 14:09:12,2.731s,PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-02-01 14:09:12,2021-02-01 14:09:13,1.188s,PASSED
,,,,,,,
Test Cases/Login/TestLogin,Chrome 88.0.4324.104,,,2021-02-01 14:09:13,2021-02-01 14:09:23,10.495s,PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-02-01 14:09:13,2021-02-01 14:09:16,2.801s,PASSED
"navigateToUrl(""https://www.bigc.vn/"")",Chrome 88.0.4324.104,,,2021-02-01 14:09:16,2021-02-01 14:09:19,3.233s,PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-02-01 14:09:19,2021-02-01 14:09:19,0.135s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_NG NHP""))",Chrome 88.0.4324.104,,,2021-02-01 14:09:19,2021-02-01 14:09:20,0.638s,PASSED
"setText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_email""), username)",Chrome 88.0.4324.104,,,2021-02-01 14:09:20,2021-02-01 14:09:20,0.952s,PASSED
"setEncryptedText(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/input_NG K_password""), password)",Chrome 88.0.4324.104,,,2021-02-01 14:09:20,2021-02-01 14:09:21,0.442s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/button_NG NHP""))",Chrome 88.0.4324.104,,,2021-02-01 14:09:21,2021-02-01 14:09:21,0.388s,PASSED
"click(findTestObject(""Object Repository/LoginScript/Page_Gi lun lun thp  Big C Supercenter/a_Tin tc Big C""))",Chrome 88.0.4324.104,,,2021-02-01 14:09:21,2021-02-01 14:09:22,1.097s,PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-02-01 14:09:22,2021-02-01 14:09:23,0.789s,PASSED
